Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3,City,AQI
02-04-2020,Bengaluru - Silk Board,28.42,55.3,5.19,8.99,2.1,0.59,36.25,Bengaluru,55.3
03-04-2020,Bengaluru - Silk Board,31.85,58.45,5.43,8.71,1.33,0.31,43.44,Bengaluru,58.45
04-04-2020,Bengaluru - Silk Board,28.5,58.17,5.07,8.26,1.31,0.31,35.03,Bengaluru,58.17
05-04-2020,Bengaluru - Silk Board,28.25,54.16,5,7.95,1.29,0.31,34.2,Bengaluru,54.16
06-04-2020,Bengaluru - Silk Board,18.99,43.53,7.68,6.75,1.16,0.35,33.34,Bengaluru,43.53
07-04-2020,Bengaluru - Silk Board,9.07,23.4,9,22.9,1.04,0.36,31.98,Bengaluru,31.98
08-04-2020,Bengaluru - Silk Board,16.68,33.77,10.16,13.86,1.23,0.46,34.05,Bengaluru,34.05
09-04-2020,Bengaluru - Silk Board,17.11,39.69,8.42,14.19,1.39,0.59,36.42,Bengaluru,39.69
10-04-2020,Bengaluru - Silk Board,12.52,27.39,6.98,12.93,1.38,0.5,35.14,Bengaluru,35.14
11-04-2020,Bengaluru - Silk Board,23.08,42.22,5.33,14.32,1.29,0.49,30.67,Bengaluru,42.22
12-04-2020,Bengaluru - Silk Board,19.62,44.51,6.69,12,1.32,0.52,34.44,Bengaluru,44.51
13-04-2020,Bengaluru - Silk Board,27.65,58.1,13.41,13.26,1.43,0.63,33.29,Bengaluru,58.1
14-04-2020,Bengaluru - Silk Board,32.11,63.15,13.34,14.29,1.68,0.57,34.46,Bengaluru,63.15
15-04-2020,Bengaluru - Silk Board,32.29,57.03,10.19,14.23,1.74,0.55,35.83,Bengaluru,57.03
16-04-2020,Bengaluru - Silk Board,25.07,51.38,8.81,11.81,1.54,0.54,34.74,Bengaluru,51.38
17-04-2020,Bengaluru - Silk Board,27.27,63.39,7.33,11.72,1.43,0.59,34.7,Bengaluru,63.39
18-04-2020,Bengaluru - Silk Board,24.33,54.32,6.61,10.34,1.4,0.56,35.42,Bengaluru,54.32
19-04-2020,Bengaluru - Silk Board,21.55,49.21,5.41,9.15,1.36,0.52,36.74,Bengaluru,49.21
20-04-2020,Bengaluru - Silk Board,18.01,41.17,5.21,8.45,1.57,0.48,37.38,Bengaluru,41.17
21-04-2020,Bengaluru - Silk Board,15.28,34.1,6.91,6.38,1.45,0.55,37,Bengaluru,37
22-04-2020,Bengaluru - Silk Board,16.16,39.77,4.64,5.6,1.43,0.53,35.83,Bengaluru,39.77
23-04-2020,Bengaluru - Silk Board,16.11,38.22,5.23,4.78,1.39,0.62,31.46,Bengaluru,38.22
24-04-2020,Bengaluru - Silk Board,31.75,87.15,9.85,4.79,1.38,0.73,42.75,Bengaluru,87.15
25-04-2020,Bengaluru - Silk Board,22.75,56.45,5.73,5.14,1.36,0.54,32.16,Bengaluru,56.45
26-04-2020,Bengaluru - Silk Board,15.64,39.47,3.68,4.47,1.38,0.47,31.48,Bengaluru,39.47
27-04-2020,Bengaluru - Silk Board,19.34,53.11,4.62,3.9,1.35,0.57,33.96,Bengaluru,53.11
28-04-2020,Bengaluru - Silk Board,17.83,49.41,3.69,3.97,1.39,0.46,32.12,Bengaluru,49.41
29-04-2020,Bengaluru - Silk Board,13.86,36.93,6.77,3.78,1.31,0.58,33.42,Bengaluru,36.93
30-04-2020,Bengaluru - Silk Board,24.14,65.38,8.09,3.82,1.35,0.69,34.88,Bengaluru,65.38
01-05-2020,Bengaluru - Silk Board,23.11,56.85,4.65,4.35,1.33,0.51,36.42,Bengaluru,56.85
02-05-2020,Bengaluru - Silk Board,19.03,45.74,5,4.1,1.3,0.54,32.68,Bengaluru,45.74
03-05-2020,Bengaluru - Silk Board,24.54,54.45,4.57,4.05,1.41,0.55,37.47,Bengaluru,54.45
04-05-2020,Bengaluru - Silk Board,27.24,73.74,5.94,4.02,1.44,0.62,36.37,Bengaluru,73.74
05-05-2020,Bengaluru - Silk Board,30.62,83.16,5.37,4.01,1.45,0.61,41.08,Bengaluru,83.16
06-05-2020,Bengaluru - Silk Board,20.98,61.01,5.41,3.81,1.42,0.61,32.1,Bengaluru,61.01
07-05-2020,Bengaluru - Silk Board,26.54,68.04,5.68,3.75,1.42,0.65,37.18,Bengaluru,68.04
08-05-2020,Bengaluru - Silk Board,19.07,49.82,5.68,3.44,1.36,0.62,41.78,Bengaluru,49.82
09-05-2020,Bengaluru - Silk Board,21.59,54.33,3.77,3.61,1.44,0.49,32.43,Bengaluru,54.33
10-05-2020,Bengaluru - Silk Board,18.77,49.1,3.09,3.42,1.48,0.42,36.78,Bengaluru,49.1
11-05-2020,Bengaluru - Silk Board,15.89,47.97,3.42,3.95,1.5,0.42,24.01,Bengaluru,47.97
12-05-2020,Bengaluru - Silk Board,9.99,35.98,2.68,3.04,1.69,0.44,17.98,Bengaluru,35.98
13-05-2020,Bengaluru - Silk Board,13.98,42.72,4.83,4.59,1.92,0.56,25.55,Bengaluru,42.72
14-05-2020,Bengaluru - Silk Board,23.38,52.76,7.68,7.44,1.88,0.56,27.46,Bengaluru,52.76
15-05-2020,Bengaluru - Silk Board,14.67,45.43,8.22,5.1,2.33,0.53,26.87,Bengaluru,45.43
16-05-2020,Bengaluru - Silk Board,25.26,68.27,9.54,3.87,2.08,0.94,27.89,Bengaluru,68.27
17-05-2020,Bengaluru - Silk Board,19.71,50.94,6.43,3.94,2.01,0.76,27.79,Bengaluru,38
18-05-2020,Bengaluru - Silk Board,16.44,53.48,9.31,4.14,1.72,0.79,25.21,Bengaluru,53.48
19-05-2020,Bengaluru - Silk Board,17.74,85,9.1,3.81,1.87,0.72,30.87,Bengaluru,85
20-05-2020,Bengaluru - Silk Board,17.58,83.25,9.25,3.71,1.97,0.63,37.43,Bengaluru,83.25
21-05-2020,Bengaluru - Silk Board,22.18,81.35,9.22,3.55,2.14,0.66,35.69,Bengaluru,81.35
22-05-2020,Bengaluru - Silk Board,17.35,60.91,9.47,3.62,2.25,0.64,35.4,Bengaluru,60.91
23-05-2020,Bengaluru - Silk Board,21.48,73.49,10.47,3.5,1.85,0.7,37.68,Bengaluru,73.49
24-05-2020,Bengaluru - Silk Board,17.89,50.3,6.19,3.63,1.25,0.44,36.22,Bengaluru,36.22
25-05-2020,Bengaluru - Silk Board,23.42,66.36,12.11,4.32,1.5,0.78,44.45,Bengaluru,66.36
26-05-2020,Bengaluru - Silk Board,18.46,51.02,10.32,4.53,1.52,0.53,46.93,Bengaluru,51.02
27-05-2020,Bengaluru - Silk Board,18.61,48.73,13.4,5.8,2.39,0.87,39.22,Bengaluru,48.73
28-05-2020,Bengaluru - Silk Board,17.22,57.13,12.37,6.02,1.91,0.72,33.48,Bengaluru,57.13
29-05-2020,Bengaluru - Silk Board,18.29,52.54,11.92,5.89,2.06,0.7,17.89,Bengaluru,52.54
30-05-2020,Bengaluru - Silk Board,15.78,45.74,11.26,5.64,2.22,0.65,26.17,Bengaluru,45.74
31-05-2020,Bengaluru - Silk Board,21.26,52.48,5.38,5.8,2.6,0.47,24.41,Bengaluru,52.48
01-06-2020,Bengaluru - Silk Board,8.46,32.23,6.46,5.03,4.8,0.47,25.97,Bengaluru,32.23
02-06-2020,Bengaluru - Silk Board,6.7,34.03,6.88,4.82,4.56,0.43,24.18,Bengaluru,34.03
03-06-2020,Bengaluru - Silk Board,5.89,34.56,7.03,4.61,4.51,0.4,15.77,Bengaluru,34.56
04-06-2020,Bengaluru - Silk Board,8.81,46,8.76,4.63,4.49,0.58,21.24,Bengaluru,46
05-06-2020,Bengaluru - Silk Board,10.89,52.12,8.7,4.52,4.45,0.56,20.48,Bengaluru,52.12
06-06-2020,Bengaluru - Silk Board,12.03,52.02,8.62,4.71,4.43,0.57,20.85,Bengaluru,52.02
07-06-2020,Bengaluru - Silk Board,13.39,49.89,8.38,4.69,4.38,0.53,13.51,Bengaluru,49.89
08-06-2020,Bengaluru - Silk Board,16.08,66.2,11.23,4.7,4.51,0.83,19.3,Bengaluru,66.2
09-06-2020,Bengaluru - Silk Board,16.43,71.78,11.3,5.41,4.42,0.67,24.96,Bengaluru,71.78
10-06-2020,Bengaluru - Silk Board,12.78,55.82,9.31,5.16,4.66,0.7,23.2,Bengaluru,55.82
11-06-2020,Bengaluru - Silk Board,10.39,43.84,9.5,5.2,4.44,0.72,13.65,Bengaluru,43.84
12-06-2020,Bengaluru - Silk Board,14.76,58.89,9.29,4.6,4.09,0.77,19.1,Bengaluru,58.89
13-06-2020,Bengaluru - Silk Board,10.11,52.24,8.42,8.98,4.02,0.56,19.45,Bengaluru,52.24
14-06-2020,Bengaluru - Silk Board,8.15,47.84,6.36,11.62,4.1,0.47,15.28,Bengaluru,47.84
15-06-2020,Bengaluru - Silk Board,11.52,51.56,7.68,11.63,4.2,0.58,22.2,Bengaluru,51.56
16-06-2020,Bengaluru - Silk Board,12.15,49.06,6.65,12,4.13,0.5,25.91,Bengaluru,49.06
17-06-2020,Bengaluru - Silk Board,13,93.53,9.83,6.11,3.38,0.59,14.4,Bengaluru,93.53
18-06-2020,Bengaluru - Silk Board,12.99,58.71,16.26,7.51,2.26,0.64,14,Bengaluru,58.71
19-06-2020,Bengaluru - Silk Board,14.52,65.06,16.74,7.54,4.46,0.67,17.29,Bengaluru,65.06
20-06-2020,Bengaluru - Silk Board,15.16,62.03,17.96,7.47,4,0.74,15.62,Bengaluru,62.03
21-06-2020,Bengaluru - Silk Board,10.04,39.96,14.79,7.55,,0.46,15.76,Bengaluru,39.96
22-06-2020,Bengaluru - Silk Board,11.17,53.6,17.55,7.48,,0.82,14.87,Bengaluru,53.6
23-06-2020,Bengaluru - Silk Board,15.18,62.73,18.14,7.55,,0.65,24.73,Bengaluru,62.73
24-06-2020,Bengaluru - Silk Board,15,45.78,18.49,8.56,5.18,0.54,29.64,Bengaluru,45.78
25-06-2020,Bengaluru - Silk Board,12.69,37.04,20.78,7.7,4.3,0.8,29.02,Bengaluru,40
26-06-2020,Bengaluru - Silk Board,10.09,16.57,18.46,7.51,,0.9,27.14,Bengaluru,45
27-06-2020,Bengaluru - Silk Board,,,,,,,,Bengaluru,
28-06-2020,Bengaluru - Silk Board,,,,,,,,Bengaluru,
29-06-2020,Bengaluru - Silk Board,8.36,61.47,16.84,9.55,,0.62,41.47,Bengaluru,61.47
30-06-2020,Bengaluru - Silk Board,13.67,74.33,18.99,10.57,,0.9,37.62,Bengaluru,74.33
01-07-2020,Bengaluru - Silk Board,14.42,60.65,15.53,9.5,,0.4,32.89,Bengaluru,60.65
02-07-2020,Bengaluru - Silk Board,7.93,37.74,15.18,8.64,,0.49,29.88,Bengaluru,37.74
03-07-2020,Bengaluru - Silk Board,7.5,37.75,15.87,7.79,,0.42,35.28,Bengaluru,37.75
04-07-2020,Bengaluru - Silk Board,8.18,46.79,15.76,7.43,,0.44,27.45,Bengaluru,46.79
05-07-2020,Bengaluru - Silk Board,8.56,28.48,11.9,7.28,,0.26,32.92,Bengaluru,32.92
06-07-2020,Bengaluru - Silk Board,15.09,46,14.75,7.68,,0.49,29.5,Bengaluru,46
07-07-2020,Bengaluru - Silk Board,11.59,40.14,14.6,8.24,,0.59,31.03,Bengaluru,40.14
08-07-2020,Bengaluru - Silk Board,12.53,37.89,14.65,8.34,,1.22,32.13,Bengaluru,57.53333333
09-07-2020,Bengaluru - Silk Board,14.03,44.18,15.41,8.14,,0.89,26.37,Bengaluru,44.5
10-07-2020,Bengaluru - Silk Board,16.81,44.56,15.54,8.36,,0.71,28.22,Bengaluru,44.56
11-07-2020,Bengaluru - Silk Board,17.38,50,16.05,8.05,,0.55,35.16,Bengaluru,50
12-07-2020,Bengaluru - Silk Board,9.07,19.59,12.6,7.77,,0.33,31.82,Bengaluru,31.82
13-07-2020,Bengaluru - Silk Board,19.2,51.23,17.39,7.71,,0.83,33.31,Bengaluru,51.23
14-07-2020,Bengaluru - Silk Board,17.45,57.08,17.19,7.75,,0.84,27.75,Bengaluru,57.08
15-07-2020,Bengaluru - Silk Board,12.7,23.65,12.85,7.88,,0.53,27.55,Bengaluru,27.55
16-07-2020,Bengaluru - Silk Board,9.35,23.04,12.59,7.83,,0.49,25.32,Bengaluru,25.32
17-07-2020,Bengaluru - Silk Board,9.95,31.8,12.81,7.52,,0.5,26.76,Bengaluru,31.8
18-07-2020,Bengaluru - Silk Board,10.56,39.41,12.92,7.56,,0.5,26.83,Bengaluru,39.41
19-07-2020,Bengaluru - Silk Board,11.59,32.14,12.52,7.51,,0.49,22.23,Bengaluru,32.14
20-07-2020,Bengaluru - Silk Board,12.08,29.65,12.72,7.68,,1.01,32.1,Bengaluru,32.1
21-07-2020,Bengaluru - Silk Board,9.18,31.08,13.13,7.64,,0.36,30.28,Bengaluru,31.08
22-07-2020,Bengaluru - Silk Board,24.02,56.3,13.59,8.18,,0.36,31.07,Bengaluru,56.3
23-07-2020,Bengaluru - Silk Board,18.58,54.61,14.7,8.04,,0.49,35.4,Bengaluru,54.61
24-07-2020,Bengaluru - Silk Board,14.46,48.46,14.54,8.08,,0.49,31.07,Bengaluru,48.46
25-07-2020,Bengaluru - Silk Board,11.83,52.82,15.65,7.91,,0.63,38.92,Bengaluru,52.82
26-07-2020,Bengaluru - Silk Board,12.5,66.82,12.68,8.11,,0.46,28.36,Bengaluru,66.82
27-07-2020,Bengaluru - Silk Board,17.67,58.19,16.35,8.42,,0.37,29.39,Bengaluru,58.19
28-07-2020,Bengaluru - Silk Board,18.03,54.35,16.4,8.74,,0.51,34.45,Bengaluru,54.35
29-07-2020,Bengaluru - Silk Board,14.97,42.35,15.71,8.76,,0.59,39.41,Bengaluru,42.35
30-07-2020,Bengaluru - Silk Board,12.85,49.31,17.09,8.04,,0.47,35.45,Bengaluru,49.31
31-07-2020,Bengaluru - Silk Board,17.19,45.88,14.39,7.27,,0.5,32.87,Bengaluru,45.88
01-08-2020,Bengaluru - Silk Board,16.38,39.76,14.59,7.69,,0.62,33.56,Bengaluru,39.76
02-08-2020,Bengaluru - Silk Board,13.2,32.35,13.61,7.44,,0.52,36.44,Bengaluru,36.44
03-08-2020,Bengaluru - Silk Board,15.69,43.45,14.74,7.34,,0.5,43.35,Bengaluru,43.45
04-08-2020,Bengaluru - Silk Board,18.03,44.74,14.75,7.32,,0.37,26.63,Bengaluru,44.74
05-08-2020,Bengaluru - Silk Board,17.75,50.3,14.8,7.74,,0.41,25.09,Bengaluru,29.58333333
06-08-2020,Bengaluru - Silk Board,18.29,65.97,14.57,7.83,,0.46,32.59,Bengaluru,65.97
07-08-2020,Bengaluru - Silk Board,19.28,83.77,15.05,7.38,,0.46,35.73,Bengaluru,83.77
08-08-2020,Bengaluru - Silk Board,19.9,73.91,15.18,7.07,,0.38,36.52,Bengaluru,73.91
09-08-2020,Bengaluru - Silk Board,17.5,44.88,14.08,7.13,,0.4,30.18,Bengaluru,44.88
10-08-2020,Bengaluru - Silk Board,20.64,70.7,16.81,7.52,,0.55,26.24,Bengaluru,70.7
11-08-2020,Bengaluru - Silk Board,21.99,78.95,16.41,7.72,,0.81,32.53,Bengaluru,78.95
12-08-2020,Bengaluru - Silk Board,22.22,72.58,15.97,7.3,,0.34,31.18,Bengaluru,72.58
13-08-2020,Bengaluru - Silk Board,24.79,85.48,16.27,7.01,,0.36,30.74,Bengaluru,85.48
14-08-2020,Bengaluru - Silk Board,26.47,71.45,15.65,7.07,,0.45,30.05,Bengaluru,71.45
15-08-2020,Bengaluru - Silk Board,24.12,60.61,14.61,7,,0.49,24.94,Bengaluru,60.61
16-08-2020,Bengaluru - Silk Board,23.14,59.19,14.04,7.06,,0.35,25.55,Bengaluru,59.19
17-08-2020,Bengaluru - Silk Board,22.27,44.96,14.69,7.04,,0.66,30.66,Bengaluru,44.96
18-08-2020,Bengaluru - Silk Board,23.74,61.92,13.82,7.18,,0.69,26.15,Bengaluru,61.92
19-08-2020,Bengaluru - Silk Board,22.46,68.58,15.08,7.43,,0.56,31.01,Bengaluru,68.58
20-08-2020,Bengaluru - Silk Board,23.74,67.32,15.23,7.07,,0.58,30.17,Bengaluru,67.32
21-08-2020,Bengaluru - Silk Board,22.12,57.15,14.82,6.93,,0.55,29.86,Bengaluru,57.15
22-08-2020,Bengaluru - Silk Board,21.43,50.8,14.26,6.85,,0.51,24.87,Bengaluru,35.71666667
23-08-2020,Bengaluru - Silk Board,17.39,44,13.88,6.91,,0.55,26.11,Bengaluru,44
24-08-2020,Bengaluru - Silk Board,26.24,60.15,15.48,7.12,,0.61,34.45,Bengaluru,60.15
25-08-2020,Bengaluru - Silk Board,29.85,79.38,17.4,7.2,,0.73,33.36,Bengaluru,79.38
26-08-2020,Bengaluru - Silk Board,29.06,80.49,17.45,7.52,,0.77,36.74,Bengaluru,80.49
27-08-2020,Bengaluru - Silk Board,32.17,89.08,18.06,7.35,,0.78,42.44,Bengaluru,89.08
28-08-2020,Bengaluru - Silk Board,30.51,88.23,17.56,7.4,,0.73,33.58,Bengaluru,88.23
29-08-2020,Bengaluru - Silk Board,26.19,67.35,17.07,7.36,,0.57,35.83,Bengaluru,67.35
